Regio5ID,Regio5,traveltype,"unter 0,5 km","0,5 bis unter 1 km",1 bis unter 2 km,2 bis unter 5 km,5 bis unter 10 km,10 bis unter 20 km,20 bis unter 50 km,50 bis unter 100 km,100 km und mehr,0to5,5to20,20to50,50more
51,Metropole,foot,0.37,0.29,0.18,0.13,0.03,0.01,0,0,0,0.6,0.04,0,0
51,Metropole,bike,0.08,0.16,0.26,0.31,0.14,0.04,0.01,0,0,0.73,0.18,0.01,0
51,Metropole,car_plus,0.02,0.05,0.11,0.27,0.22,0.14,0.1,0.04,0.04,0.43,0.36,0.1,0.08
51,Metropole,car,0.01,0.05,0.1,0.27,0.22,0.18,0.11,0.03,0.03,0.42,0.4,0.11,0.06
51,Metropole,public,0.01,0.03,0.08,0.26,0.29,0.19,0.09,0.02,0.03,0.37,0.48,0.09,0.05
52,"Regiopole, Großstadt",foot,0.35,0.25,0.18,0.16,0.04,0.01,0,0,0,0.59,0.05,0,0
52,"Regiopole, Großstadt",bike,0.07,0.15,0.24,0.36,0.12,0.03,0.01,0,0,0.75,0.15,0.01,0
52,"Regiopole, Großstadt",car_plus,0.02,0.06,0.12,0.31,0.21,0.15,0.08,0.03,0.03,0.49,0.36,0.08,0.06
52,"Regiopole, Großstadt",car,0.03,0.05,0.12,0.27,0.23,0.15,0.1,0.03,0.02,0.44,0.38,0.1,0.05
52,"Regiopole, Großstadt",public,0.01,0.03,0.09,0.3,0.26,0.12,0.11,0.05,0.04,0.42,0.38,0.11,0.09
53,"zentrale Stadt, Mittelstadt",foot,0.33,0.25,0.21,0.16,0.04,0.01,0,0,0,0.62,0.05,0,0
53,"zentrale Stadt, Mittelstadt",bike,0.08,0.18,0.25,0.34,0.09,0.04,0.02,0.01,0,0.77,0.13,0.02,0.01
53,"zentrale Stadt, Mittelstadt",car_plus,0.02,0.07,0.13,0.31,0.2,0.13,0.09,0.03,0.03,0.51,0.33,0.09,0.06
53,"zentrale Stadt, Mittelstadt",car,0.02,0.05,0.12,0.28,0.21,0.16,0.12,0.03,0.02,0.45,0.37,0.12,0.05
53,"zentrale Stadt, Mittelstadt",public,0.01,0.03,0.07,0.24,0.2,0.17,0.17,0.07,0.04,0.34,0.37,0.17,0.11
54,städtischer Raum,foot,0.34,0.27,0.18,0.16,0.04,0.01,0,0,0,0.61,0.05,0,0
54,städtischer Raum,bike,0.09,0.21,0.26,0.26,0.1,0.05,0.02,0,0,0.73,0.15,0.02,0
54,städtischer Raum,car_plus,0.02,0.07,0.12,0.24,0.19,0.18,0.11,0.03,0.03,0.43,0.37,0.11,0.06
54,städtischer Raum,car,0.02,0.06,0.12,0.23,0.2,0.19,0.13,0.03,0.02,0.41,0.39,0.13,0.05
54,städtischer Raum,public,0.01,0.03,0.04,0.17,0.21,0.23,0.2,0.06,0.04,0.24,0.44,0.2,0.1
55,"kleinstädtischer, dörflicher Raum",foot,0.35,0.24,0.18,0.17,0.05,0.01,0.01,0,0,0.59,0.06,0.01,0
55,"kleinstädtischer, dörflicher Raum",bike,0.12,0.24,0.22,0.23,0.1,0.06,0.03,0,0,0.69,0.16,0.03,0
55,"kleinstädtischer, dörflicher Raum",car_plus,0.03,0.06,0.1,0.19,0.19,0.2,0.15,0.05,0.02,0.35,0.39,0.15,0.07
55,"kleinstädtischer, dörflicher Raum",car,0.03,0.06,0.09,0.2,0.19,0.21,0.17,0.04,0.02,0.35,0.4,0.17,0.06
55,"kleinstädtischer, dörflicher Raum",public,0.01,0.01,0.03,0.15,0.21,0.26,0.21,0.07,0.04,0.19,0.47,0.21,0.11
